Location,TFR_1953,NRR_2048,Births_2033,LExMale_2048,IMR_1953,CDR_1978,CDR_2008,CDR_2028,GrowthRate_1988,GrowthRate_1993,GrowthRate_2008,SRB_2008,MAC_1963,MAC_2008,MAC_2038,target
Ethiopia,7.17,1.086,17307.794,71.71,199.334,20.803,9.553,5.493,3.286,3.509,2.674,1.04,30.745,29.961,29.527,3
Fiji,6.625,0.941,77.963,71.46,64.268,7.544,6.527,8.305,0.471,1.247,0.907,1.06,28.289,27.582,28.906,1
Finland,2.997,0.885,292.084,83.68,33.098,9.378,9.364,10.366,0.343,0.486,0.402,1.044,28.227,30.02,30.591,2
France,2.747,0.946,3874.106,83.93,45.618,10.424,8.618,9.365,0.557,0.445,0.577,1.052,27.458,29.869,30.537,2
French Guiana,5,1.237,41.468,83.09,103.238,7.455,3.178,3.288,5.845,3.424,2.776,1.05,28.706,28.315,30.636,2
French Polynesia,6,0.845,19.15,80.83,129.608,7.4,4.779,6.618,2.483,1.629,0.99,1.05,27.481,28.318,30.034,1
Gabon,3.987,1.208,303.671,72.21,179.349,16.236,9.923,6.276,2.745,2.632,3.122,1.03,27.71,28.492,29.809,1
Gambia,5.287,1.422,503.657,64.43,156.242,20.795,9.556,6.987,4.5,3.019,3.169,1.03,27.83,29.932,31.05,1
Georgia,2.75,0.898,202.259,74.63,79.936,8.756,11.592,12.619,0.749,-1.498,-1.17,1.11,28.924,26.186,28.321,1
Germany,2.128,0.79,3454.617,84.13,46.374,12.349,10.366,11.872,0.357,0.529,-0.191,1.058,27.27,29.907,32.299,2
Ghana,6.442,1.289,4860.214,67.78,147.446,14.273,9.553,6.981,2.802,2.721,2.583,1.053,30.088,30.015,29.644,1
Greece,2.479,0.754,405.391,84.06,45.8,9.874,9.352,11.223,0.542,1.029,0.255,1.068,28.583,30.004,32.41,2
Grenada,5.8,0.846,7.123,75.54,107.869,9.082,7.714,7.371,-0.738,0.807,0.333,1.05,28.381,28.581,28.76,3
Guadeloupe,5.61,0.878,25.344,83.25,80.525,7.383,6.845,9.363,1.602,0.865,0.502,1.04,30.051,29.942,30.649,2
Guam,5.527,0.927,13.054,83.52,82.887,5.037,4.734,5.898,2.254,2.187,0.131,1.058,28.358,28.065,29.887,2
Guatemala,7.12,0.986,2122.8,77.31,168.505,12.215,5.384,4.652,2.342,2.33,2.216,1.05,28.999,28.535,28.785,1
Guinea,6,1.457,2726.754,70.58,206.875,24.333,12.04,6.535,3.447,5.292,2.179,1.024,28.501,29.053,29.234,3
Guinea-Bissau,5.9,1.372,374.268,65.09,180.103,20.733,12.558,8.325,2.362,2.326,2.387,1.03,28.957,29.323,29.016,3
Guyana,6.042,0.932,68.049,67.22,72.235,8.364,7.724,9.069,-0.717,0.478,-0.117,1.05,27.861,26.613,27.324,3
Haiti,6.3,0.928,1200.364,66.78,221.451,16.115,9.681,8.271,2.125,1.932,1.529,1.05,31.571,30.278,29.732,1
Honduras,7.497,0.864,940.046,76.63,169.289,11.462,4.926,4.991,2.925,2.832,2.112,1.05,29.396,27.704,28.087,1
Hungary,2.686,0.781,392.642,77.67,71.883,12.822,13.207,13.823,-0.361,-0.054,-0.317,1.054,25.732,28.897,31.717,1
Iceland,3.862,0.864,20.758,85.92,21.544,6.467,6.345,7.034,1.084,0.963,1.649,1.05,27.876,29.692,31.459,2
India,5.903,0.868,116355.235,72.14,186.104,14.043,7.814,7.809,2.144,1.976,1.464,1.109,29.535,26.649,26.861,3
Indonesia,5.486,0.904,22688.239,70.87,192.27,10.531,7.198,7.939,1.898,1.642,1.348,1.05,28.055,28.151,28.573,1
Iran (Islamic Republic of),6.909,0.782,4362.995,80.85,220.223,11.74,5.148,5.01,3.439,1.49,1.144,1.05,29.295,28.385,29.513,1
Iraq,7.3,1.472,7867.859,71.64,225.247,9.37,5.766,4.576,2.293,2.913,2.603,1.065,28.697,29.019,27.743,1
Ireland,3.42,0.94,308.521,84.9,40.59,10.075,6.363,7.206,0.024,0.456,1.874,1.06,31.153,31.302,31.417,1
Israel,4.277,1.149,879.327,85.69,38.919,6.737,5.51,5.342,1.948,3.397,2.349,1.053,28.085,30.138,31.63,2
