Location,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,cluster
Jamaica,58.59,62.71,65.72,67.61,69,70.74,72.03,72.11,72.02,72.09,72.77,74.2,75.45,1
Japan,62.8,66.4,69.16,71.41,73.28,75.4,77.01,78.53,79.42,80.51,81.8,82.65,83.27,1
Jordan,46.48,50.65,54.59,58.38,61.85,64.97,67.25,69.15,70.43,71.28,72.17,73,73.81,2
Kazakhstan,55.08,57.32,59.5,61.66,63.26,64.31,65.89,67.5,65.45,62.96,64.59,66.08,69.07,2
Kenya,42.3,44.73,48.02,50.75,53.68,56.31,58.76,58.62,55.94,52.38,52.73,59.72,65.4,3
Kiribati,46.38,47.99,50.63,53.02,55.54,56.64,57.32,59.14,61.59,63.28,64.54,65.08,65.68,5
Kuwait,53.55,58.27,62,64.84,67.04,68.77,70.31,71.62,72.42,72.96,73.34,73.7,74.29,2
Kyrgyzstan,52.83,55.09,57.35,59.57,61.26,62.4,64.03,66.07,66.25,65.93,66.9,67.47,70.27,2
Lao People's Democratic Republic,40.93,42.44,43.97,45.48,47.04,48.4,49.89,52.37,54.84,57.52,60.34,63.16,65.4,3
Latvia,62.4,67.58,70.08,70.48,69.98,68.91,69.07,70.41,67.66,68.7,70.75,71.55,73.92,1
Least developed countries,36.15,38.67,40.92,43.27,44.28,45.89,48.8,50.64,51.54,53.81,56.43,59.84,62.66,4
Lebanon,60.47,62.43,64.01,65.36,66.69,67.59,68.37,69.56,71.05,73.24,75.64,77.74,78.93,2
Lesotho,42.16,45.08,47.79,48.52,49.8,52.26,55.3,57.33,59.7,52.73,45.62,49.04,52.5,3
Less developed regions,41.7,44.06,46.17,51.59,54.89,57.46,59.53,61.32,62.52,63.78,65.47,67.36,69.1,5
"Less developed regions, excluding China",40.77,44.06,47.03,49.89,52.22,54.71,56.87,58.7,60.21,61.7,63.3,65.34,67.34,3
"Less developed regions, excluding least developed countries",42.53,44.86,46.96,52.86,56.61,59.44,61.42,63.21,64.57,65.74,67.29,68.92,70.47,5
Liberia,33.12,34.18,35.39,37.91,40.78,44.52,46.97,47.33,47.69,52.59,52.39,58.11,60.7,4
Libya,36.67,38.99,46.89,53.32,58.41,62.47,65.57,67.52,69.35,70.17,70.79,71.79,71.46,5
Lithuania,60.83,66.87,69.88,71.28,71.19,70.67,70.53,71.57,69.73,70.27,71.64,71.86,73.99,1
Low-income countries,34.75,37.45,39.51,41.74,43.92,45.82,47.38,48.97,49.26,50.85,53.35,57.2,60.56,4
Lower-middle-income countries,39.75,43.15,46.16,49.13,51.38,54.02,56.46,58.15,59.78,61.28,62.86,64.75,66.55,3
Luxembourg,65.98,67.54,69.12,69.78,70.25,71.44,72.88,74.5,75.77,76.99,78.31,79.5,81.14,1
Madagascar,36.32,38.75,41.17,43.53,45.97,48.08,49.66,49.91,52.66,56.68,60.02,62.23,64.5,3
Malawi,36.26,37.22,38.42,39.5,41.76,43.78,45.57,46.32,46.7,46.56,47.3,53.38,60.71,4
Malaysia,54.79,57.94,60.88,63.34,65.44,67.24,68.78,70.12,71.28,72.31,73.22,73.72,74.74,2
Maldives,34.48,36.09,38.99,42.44,46.2,50.66,55.48,59.3,63.54,67.64,72.12,75.61,76.31,5
